yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,price_source,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,peg,cagr,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
095340.KQ,095340,ISC,42012,198200.0,147103.5,34.7350674864976,271000.0,-26.86346863468635,46.42631246046395,regularMarketPrice,2.68,60.46,21.82,44.0,7.02,10.6,15.85,26.19,34.15,91.78,720 -> 2579 -> 2648,,,,,,,,,,,16.42,91.78,2026-06-22,4.45,0,0,12,0,15,2,5,5,39,D,24
214370.KQ,214370,케어젠,39158,72900.0,84084.5,-13.30150027650756,150100.0,-51.43237841439041,41.44838212633929,daily_close,-37.87,92.25,3.99,163.68,16.23,9.23,8.85,-11.86,-40.35,-29.05,743 -> 602 -> 374,,,,,,,,,,,,-29.05,2026-06-22,4.45,0,0,6,0,0,0,5,3,14,D,25
067310.KQ,067310,하나마이크론,37759,56800.0,30722.1,84.8831948336865,56800.0,0.0,70.44334975367029,regularMarketPrice,,44.79,21.44,20.0,6.91,9.89,209.16,22.68,19.57,,-,,,,,,,,,,,,,2026-06-22,4.45,4,0,6,0,0,0,1,0,11,D,26
310210.KQ,310210,보로노이,36896,200500.0,229939.0,-12.802960785251742,363500.0,-44.84181568088033,34.1040462427715,regularMarketPrice,,,6.67,,39.73,-50.18,64.97,-23.47,,,-,75.0,-544.0,-427.0,-725.33,-569.33,,,,,,,,2026-06-22,4.45,0,0,0,0,0,0,3,5,8,D,27
095610.KQ,095610,테스,35506,183400.0,66607.0,175.34643505937814,183400.0,0.0,73.67038739329593,daily_close,33.69,92.12,11.5,35.0,7.19,15.76,24.43,46.23,50.13,504.31,79 -> 2158 -> 2885,,,,,,,,,,,1.04,504.31,2026-06-22,4.45,0,0,16,10,15,10,1,0,52,C,28
319400.KQ,319400,현대무벡스,34303,30800.0,22444.225,37.229064492090956,46350.0,-33.549083063646165,31.52610441765296,daily_close,-56.77,99.75,1.45,357.22,22.8,6.79,76.81,15.38,-26.02,65.83,36 -> 229 -> 99,,,,,,,,,,,,65.83,2026-06-22,4.45,0,0,6,0,15,0,3,5,29,D,29
005290.KQ,005290,동진쎄미켐,32518,63800.0,45647.0,39.76822135080071,66000.0,-3.3333333333333335,60.227272727255304,daily_close,-35.98,13.86,16.45,23.88,2.73,9.52,82.11,7.31,-1.71,-11.78,2476 -> 3010 -> 1927,,,,,,,,,,,,-11.78,2026-06-22,4.45,4,3,6,0,0,0,3,0,16,D,30
145020.KQ,145020,휴젤,31129,253000.0,259210.0,-2.3957409050576755,388000.0,-34.79381443298969,51.89873417720906,daily_close,3.3,21.91,58.08,17.0,2.6,16.06,9.86,13.97,20.88,22.87,7517 -> 10985 -> 11348,,,,,,,,,,,5.15,22.87,2026-06-22,4.45,8,3,16,0,12,2,5,5,51,C,31
214450.KQ,214450,파마리서치,30493,293500.0,418177.5,-29.81449264965236,711000.0,-58.72011251758087,48.11715481170984,regularMarketPrice,65.07,24.5,7.71,16.0,4.88,26.88,44.21,53.18,70.02,37.82,7481 -> 8608 -> 14209,,,,,,,,,,,0.25,37.82,2026-06-22,4.45,8,0,20,20,15,10,5,3,81,A,32
214150.KQ,214150,클래시스,30171,46250.0,54483.25,-15.111525101751456,75600.0,-38.82275132275132,54.89130434778432,daily_close,32.76,30.47,70.57,17.0,5.83,26.21,27.73,38.66,39.38,32.57,1146 -> 1517 -> 2014,,,,,,,,,,,0.52,32.57,2026-06-22,4.45,8,0,20,20,15,10,5,5,83,A,33
